statename,statefips,expansion,fpwaiver,small,template,note,age1518_mn,age1518_n,age1518_tstat,age1925_mn,age1925_n,age1925_tstat,age2634_mn,age2634_n,age2634_tstat,age3544_mn,age3544_n,age3544_tstat,white_mn,white_n,white_tstat,black_mn,black_n,black_tstat,hispanic_mn,hispanic_n,hispanic_tstat,othrace_mn,othrace_n,othrace_tstat,marpar_mn,marpar_n,marpar_tstat,singpar_mn,singpar_n,singpar_tstat,marchils_mn,marchils_n,marchils_tstat,singchils_mn,singchils_n,singchils_tstat,inc_acalt138_mn,inc_acalt138_n,inc_acalt138_tstat,inc_aca138_250_mn,inc_aca138_250_n,inc_aca138_250_tstat,inc_aca250_400_mn,inc_aca250_400_n,inc_aca250_400_tstat,inc_aca400pl_mn,inc_aca400pl_n,inc_aca400pl_tstat,inmetro_mn,inmetro_n,inmetro_tstat,nonmetro_mn,nonmetro_n,nonmetro_tstat,employed_mn,employed_n,employed_tstat,unemp_mn,unemp_n,unemp_tstat,nilf_mn,nilf_n,nilf_tstat,hier_n,hier_medicaid_share,hier_noncit400pl_share,hier_mktplce_share,hier_fpw_share,hier_pov_none_share,hier_100_138_share,hier_noncit_share,hier_400pl_share,ui_mn,ui_n,ui_tstat,ui_mn13,ui_n13,hier_benefit
Missouri,29,0,1,0,2,0,0.055226837,1566,9.204632759,0.155810917,2517,2.909876347,0.153190777,3239,3.235232115,0.118761366,3417,1.640940189,0.115006267,8834,4.778172493,0.173893968,866,2.856878519,0.249169377,455,4.763876915,0.12551588,584,0.192229122,0.094222156,3429,5.64263916,0.209494988,1545,6.027862072,0.106648349,1000,1.759110928,0.129458253,4765,0.099348545,0.223378918,3876,13.64677143,0.158395839,2078,2.892948151,0.067623974,2166,8.420144081,0.014113357,2619,23.04859352,0.117024408,6997,4.47867775,0.178861033,2486,4.819842339,0.121460683,7048,5.418124199,0.278464415,351,4.159983635,0.171146042,2237,3.401850939,1276,0.09376282,0.107254873,0.427894605,0.371087702,0,0.121269669,0.083155777,0.024099096,0.129978387,151126,3.179426908,0.188638855,219772,0.492357371
Montana,30,1,1,0,1,0,0.046946855,224,2.698273897,0.075864179,359,1.195277333,0.111191922,523,1.284817696,0.107796599,520,1.011536956,0.083627536,1303,1.664925694,0,9,10.22830868,0.119365776,61,0.492572159,0.150247021,253,1.64233017,0.089634699,564,0.294732511,0.094332164,168,0.03219486,0.072077775,181,0.962742388,0.10091437,713,0.764806271,0.111773584,582,1.416769385,0.125788664,313,1.740424514,0.07783864,329,0.83826524,0.055801847,402,2.641475201,0.108737499,115,0.493295699,0.137239893,382,2.355673552,0.081865356,1044,2.649278164,0.154475703,45,0.82623446,0.151188409,371,2.430239677,157,0.402109939,0.206940589,0.390949473,0,0,0,0.103387007,0.103553581,0.093371698,18010,2.396271229,0.185548842,34639,0
Nebraska,31,0,0,0,3,2,0.072431693,515,2.971602201,0.116339427,754,0.240766063,0.143126574,998,1.745884299,0.119817431,1031,0.001399155,0.087863521,2719,5.354551792,0.127912432,104,0.220276237,0.32401115,280,5.894851685,0.114008818,195,0.196878776,0.102304045,1207,1.554988146,0.209551586,426,3.598741055,0.088583867,295,1.329717398,0.108610062,1370,1.161445856,0.218390108,1028,7.081500053,0.138496117,661,1.041253924,0.069057854,725,3.81763196,0.031036143,884,8.870332718,0.10877577,1599,1.641894817,0.140224345,631,1.138088822,0.101672954,2264,3.950952053,0.249685581,83,1.852018595,0.190067414,576,3.146134138,319,0.151717666,0.276474492,0.345913533,0,0.225894308,0.092440437,0.216075802,0.060398691,0.119800392,43693,0.552893817,0.153901945,55807,0.318334745
Nevada,32,1,0,0,1,3,0.109095734,690,2.610103846,0.137476609,1087,0.876538038,0.160717842,1564,1.330188155,0.156979453,1716,1.027997613,0.097920584,2201,6.764840603,0.111452241,393,1.923971415,0.237571152,1579,9.372768402,0.104389324,884,3.343782902,0.134832642,1490,1.33790493,0.172885065,791,1.696712971,0.147144644,533,0.035908055,0.146485246,2243,0.196729749,0.218308107,1681,7.492642403,0.18032029,1066,2.572210073,0.093705487,1025,4.98473835,0.055860383,1285,10.25379944,0.145798014,4575,0.877909005,0.188745689,252,1.114371181,0.127948888,3195,5.652236462,0.27141619,224,3.129513264,0.207634159,1098,4.108271599,642,0.278839861,0.474377964,0.246782175,0,0,0,0.409906652,0.064471312,0.147856335,87093,5.152210236,0.280299499,155733,0
New Hampshire,33,1,1,1,4,0,0.03083505,346,3.971438646,0.064948234,533,0.534791648,0.097636462,689,2.19923687,0.069806903,672,0.190932363,0.065587079,2003,1.838166237,0.186215236,29,1.103211164,0.062582129,91,0.354883641,0.14024302,117,1.81650281,0.055846632,633,1.475782514,0.117198898,224,1.626654744,0.073790527,219,0.101448908,0.06865679,1164,0.441701382,0.086114858,672,1.194726944,0.117505109,348,2.535395861,0.089147815,426,1.092308283,0.024409678,794,5.886260986,0.057513325,827,1.731261015,0.09902352,871,2.436138153,0.067238259,1541,2.094546318,0.211452652,69,1.788977861,0.092491503,396,0.976390362,160,0.300879324,0.201608238,0.497512438,0,0,0,0.102221451,0.099386787,0.071793764,17286,6.066702366,0.15468365,37792,0
New Jersey,34,1,0,0,1,3,0.05063876,2144,9.370611191,0.103481432,3206,1.070934176,0.129633887,4581,3.616669178,0.121090442,5277,2.237332821,0.06053267,8252,14.40935612,0.108354925,1576,0.211711034,0.235615758,3023,16.26207924,0.070378435,2357,5.991922855,0.106325671,4674,0.767545223,0.169364565,1685,5.861902714,0.10668658,1475,0.335194379,0.096867975,7374,3.845083237,0.179153933,4533,12.41772842,0.165288649,2096,5.996808529,0.098185699,2171,1.534773111,0.032899363,6408,20.85720634,0.110272563,14823,0.053346876,,,,0.095769679,9764,8.323760033,0.198400549,593,3.836343527,0.165395114,3227,6.680448055,1360,0.250449726,0.571379442,0.178170832,0,0,0,0.49816406,0.073215382,0.110294907,189004,1.46250701,0.190793592,327062,0
New Mexico,35,1,1,0,1,0,0.05314763,474,3.391937733,0.119035728,724,1.270093203,0.090237554,1033,0.825699806,0.115126057,1012,1.322002769,0.068728951,981,2.860342741,0.095869356,34,0.062546298,0.138466619,1441,5.550162792,0.023999728,787,7.728649616,0.10047988,850,0.053294037,0.102540003,694,0.189571857,0.148654783,269,1.657791853,0.089030463,1430,1.271160245,0.119559343,1531,2.331859589,0.126254763,639,1.605502129,0.087269025,524,0.826543331,0.027924285,549,6.398916245,0.104241131,1956,0.838812411,0.115338205,706,1.009727836,0.090191536,1851,2.295634985,0.134160415,153,0.704983175,0.133765783,895,2.008319378,247,0.342070641,0.392799312,0.265130048,0,0,0,0.344575448,0.048223864,0.099746621,39524,2.002497196,0.247222853,98056,0
New York,36,1,1,0,1,4,0.031161039,4804,12.05283451,0.067051866,8516,1.030624509,0.082805174,11221,4.579765797,0.074803134,11828,1.622597337,0.042235043,20696,15.57932281,0.080347192,4492,2.061789036,0.122820933,6141,12.17550755,0.080009412,5040,2.036084175,0.064874059,9355,1.80530107,0.077791254,4399,1.593044758,0.081882841,3471,1.761021137,0.068919325,19144,0.875630081,0.098000221,13269,10.93938446,0.091983539,5646,4.81530714,0.06496963,5722,1.301217556,0.028787759,11732,18.87748718,0.071339078,31345,1.996083975,0.054135409,1928,2.262667418,0.061590247,23048,9.35671711,0.118677079,1371,3.999173403,0.102658617,8550,7.698879719,2218,0.305936561,0.487675372,0.206388066,0,0,0,0.399911623,0.087763749,0.070405775,280617,24.99799347,0.13847105,557697,0
North Carolina,37,0,1,0,2,0,0.063331073,2647,13.08572006,0.150417998,4062,0.190443948,0.173468628,5231,4.198365688,0.161482086,6023,2.376192331,0.107672407,11440,12.68161106,0.139090994,3378,1.46330452,0.421937866,1710,19.42246056,0.101623497,1435,4.78398037,0.126793723,5291,4.040594101,0.221758371,2653,7.97924614,0.125991688,1839,2.179269075,0.139761664,8180,2.325217962,0.244134734,6745,19.30402374,0.175726541,3173,3.296352863,0.068869945,3304,13.64665031,0.037555599,4741,23.99995232,0.140787896,12415,3.510394096,0.169262648,2707,2.129450798,0.133388416,11088,8.918637276,0.298060912,772,6.65984869,0.197303978,4295,5.541425228,2237,0.0960637,0.300934517,0.322266829,0.280734954,0,0.0901934,0.244087222,0.056847296,0.14912289,300155,9.465360641,0.229862326,451097,0.370928354
North Dakota,38,1,0,1,4,3,0.108557396,177,0.624494791,0.110557237,307,1.081939936,0.073112073,389,0.813622653,0.070142247,393,0.888047159,0.087989939,1081,0.271711111,0.030355973,19,1.698586464,0.17364532,41,0.922890782,0.056075424,125,0.922296524,0.030966782,476,4.295228958,0.18796256,142,2.275792122,0.073902203,117,0.35651502,0.105513784,531,1.282551765,0.144934226,346,2.592678308,0.101421392,217,0.594951034,0.09691204,284,0.392607898,0.02278406,419,4.642183781,0.098068499,252,0.53625828,0.057377465,280,1.313528419,0.068242496,870,2.034126759,0.489314195,33,3.157875061,0.096194991,237,0.494009703,88,0.408358834,0.153728459,0.437912707,0,0,0,0.100821388,0.05290707,0.086385486,12418,2.359523058,0.11717339,16414,0
Ohio,39,1,0,0,1,3,0.051113604,2989,3.804936647,0.083139095,4734,2.296642542,0.078872186,6095,1.860998392,0.065612004,6567,1.787908792,0.062563076,16505,5.589878082,0.083784676,1914,1.63199079,0.199807386,778,6.964234352,0.065855959,1188,0.674109578,0.058086471,6054,3.714756012,0.076831397,3091,0.865816176,0.066321798,1840,0.719852746,0.079400518,9400,2.754380465,0.100584745,7403,8.202001572,0.11216563,3688,6.537746429,0.04357692,3843,6.968930244,0.019712506,5451,17.45527267,0.069165231,15196,2.059331656,0.082458088,3964,1.927666903,0.062194579,13403,6.853890896,0.124738607,744,3.086563826,0.105209393,4165,5.521349907,1290,0.469596838,0.171471937,0.358931225,0,0,0,0.105372332,0.066099605,0.071890391,158125,17.55327797,0.142175111,313521,0
Oklahoma,40,0,1,0,2,0,0.065136604,1012,7.96643877,0.169672418,1584,1.056714177,0.162695131,1944,0.600135744,0.182753312,2137,2.652710199,0.137874216,4188,3.564939976,0.246271802,375,2.760118246,0.344555215,677,8.579545021,0.061072118,1437,10.11702919,0.134814568,2231,2.504219532,0.229394006,1102,4.514976978,0.12273236,654,2.111801863,0.151944002,2690,0.649992585,0.242292646,2689,10.24706268,0.174645224,1439,1.409579992,0.082369257,1250,7.127014637,0.041039944,1299,13.88344574,0.159793933,3021,0.525196254,0.187284009,1055,1.77582109,0.13004377,3920,7.346643925,0.344990423,287,4.731002808,0.228727039,1729,5.265884399,978,0.094908605,0.204799266,0.387196394,0.313095735,0,0.109373174,0.158534346,0.046264919,0.15695784,119810,6.569278717,0.217172591,165608,0.422468909
Oregon,41,1,1,0,1,0,0.032080154,923,6.904082298,0.095486072,1560,1.008734584,0.093852803,2227,1.163008571,0.091624205,2512,0.854730308,0.064828337,5321,5.93707943,0.095074535,97,0.203475237,0.199843487,938,7.247078419,0.058078621,866,2.818491936,0.084595542,2190,0.183058277,0.117158308,815,2.310474634,0.069974782,826,1.402002454,0.082036061,3391,0.802501202,0.121637414,2364,4.972170353,0.12321508,1323,3.578969717,0.068492086,1411,1.990111351,0.027727558,2124,10.13726044,0.086079611,5053,0.042994943,0.105594635,907,1.454479337,0.082620948,4758,2.645670176,0.131689946,236,1.598617196,0.109867166,1590,2.041760206,527,0.340787842,0.338552931,0.320659227,0,0,0,0.264440407,0.074112524,0.085967792,69354,6.329255581,0.202524296,155566,0
Pennsylvania,42,1,1,0,1,0,0.045697802,3154,3.988782406,0.072098583,5419,0.97708571,0.075764924,6299,2.1051054,0.065825055,6800,0.523642421,0.05894266,17364,4.846069813,0.070033177,1604,0.31091091,0.130573989,1318,5.26766634,0.072495801,1386,0.539394557,0.066184124,6251,0.401376456,0.079571574,2780,1.761630058,0.070737727,1909,0.376385927,0.064544136,10732,1.282921672,0.093787064,7663,7.242045403,0.110470227,3630,6.548668385,0.050236775,4097,3.822465181,0.01961353,6282,16.06760979,0.066498555,16512,1.425209522,0.088881436,2497,2.490912199,0.057490258,13948,6.844509602,0.140848833,802,3.980549812,0.094938569,4736,4.796706676,1301,0.420857735,0.248314963,0.330827302,0,0,0,0.173768819,0.074546145,0.067777886,160679,19.2161026,0.134530158,324351,0
Rhode Island,44,1,0,1,4,3,0.049624453,275,0.472049415,0.079501747,548,1.896493554,0.051286848,571,0.649772167,0.045663466,589,1.185600996,0.03721616,1380,3.610489607,0.109750797,97,1.633797884,0.108283689,289,2.743602276,0.054773427,217,0.129661039,0.041620379,490,1.568289161,0.055987277,233,0.061382953,0.040786272,166,0.969851315,0.066301687,1094,1.663334489,0.083893126,728,2.986021996,0.070161223,311,0.908427596,0.065000419,330,0.5492872,0.00902856,614,7.105982304,0.056958668,1983,,,,,0.054551418,1316,0.955652535,0.085168721,84,0.771756113,0.065884435,412,0.565671325,102,0.384781705,0.28981289,0.325405405,0,0,0,0.248731809,0.041081081,0.056958668,12025,9.176571846,0.153526831,31880,0
South Carolina,45,0,1,0,2,0,0.044914032,1259,14.00232697,0.179878396,2009,2.135694265,0.172322195,2447,1.75486815,0.173511866,2805,2.026926041,0.127685473,5551,6.184679985,0.161276782,2078,0.444016844,0.427643346,501,10.15857601,0.150156413,390,0.279272169,0.122443006,2402,4.126973152,0.207599279,1385,4.00899601,0.127661668,802,2.029529572,0.160305378,3931,0.492185712,0.235248282,3429,11.5199461,0.167251395,1616,0.872675955,0.101980384,1600,5.628306389,0.032730543,1875,18.30761337,0.157261604,6583,0.032376774,0.155336372,696,0.108445197,0.144400727,5375,6.247689247,0.308358885,357,4.4648242,0.214993948,1952,4.038774014,1071,0.12333058,0.172879564,0.399947134,0.303842723,0,0.104992566,0.132654882,0.040224682,0.157352056,151325,7.722658634,0.229642413,214379,0.408835289
South Dakota,46,0,0,1,5,0,0.08824913,243,0.083422355,0.082894976,340,0.173233733,0.120717649,438,1.912356138,0.050808898,443,2.53708744,0.079892165,1170,0.85496968,0.124513619,14,0.417159498,0.270224203,42,1.913221598,0.047092488,238,1.718247652,0.04596822,505,3.099114418,0.132602604,210,1.683273911,0.105682807,126,0.390588254,0.095950598,623,0.799997211,0.163146315,471,3.825723171,0.083377206,289,0.12775369,0.081211247,342,0.226508141,0.004829243,362,7.437194824,0.065759951,204,1.088430643,0.055456563,767,2.550739527,0.068257899,995,2.318359613,0.094325985,40,0.177755371,0.160700896,251,2.296422243,108,0.089244511,0.157722367,0.511127652,0,0.241905471,0.084852996,0.143208039,0.014514328,0.085795661,13435,2.730061531,0.129281074,20180,0.326758467
Tennessee,47,0,0,0,3,0,0.053984939,1603,8.208935738,0.118209209,2650,0.617269218,0.140685096,3504,4.446924686,0.108417584,3812,0.950514019,0.093642564,8682,6.985162258,0.103279315,1694,1.300444126,0.38292592,636,11.705966,0.112736702,557,0.049078416,0.095750524,3638,3.050541639,0.13141258,1665,1.936332703,0.112933749,1235,0.059502766,0.118547626,5031,1.115980506,0.174619372,4290,11.54683399,0.119911925,2286,0.80457747,0.067305427,2248,6.990651131,0.040794282,2745,13.0692091,0.113088743,7291,0.185520068,0.10842562,1346,0.480400175,0.107853095,7216,4.477883816,0.192201248,451,3.163899422,0.144014599,2757,3.071737051,1177,0.135189788,0.25658045,0.391635875,0,0.216593886,0.121699698,0.188975479,0.067604971,0.11360887,148850,0.416510642,0.181918442,233075,0.338293584
Texas,48,0,1,0,2,0,0.146875649,7339,18.00291634,0.28196765,10864,8.111151695,0.259907855,14986,4.481574535,0.239103284,16789,0.932859123,0.137842356,21421,35.23981476,0.21242675,4859,4.192063332,0.360310001,19477,39.64345551,0.139951062,4221,14.70778275,0.238128365,16544,1.169361472,0.359969304,7222,18.4890728,0.187898625,5019,7.677575588,0.212889266,21193,10.28644085,0.385734087,18082,43.10605621,0.28187052,9228,7.378902435,0.147197284,8570,19.57909012,0.05887699,14098,58.91505814,0.236754125,42048,5.67648077,0.287008294,1983,3.20358634,0.20419689,29648,25.4890728,0.441616534,1875,12.6296072,0.344922646,12994,20.20893478,10641,0.084909128,0.362475659,0.291947023,0.26066819,0,0.073994458,0.313049748,0.049425912,0.242451332,1423039,53.92967224,0.309717979,1706289,0.334662648
Utah,49,0,0,0,3,2,0.078324996,1005,2.677543402,0.097057877,1604,1.239115953,0.124053218,1785,1.898081899,0.115150006,1990,0.857546091,0.070733721,5170,9.467511177,0.092355212,47,0.328669637,0.303649414,724,10.04114723,0.107041438,443,0.054750498,0.088487616,2467,2.886557102,0.24578974,517,5.910930157,0.051436608,735,5.493580341,0.107416495,2665,0.098614976,0.197211887,1939,9.413690567,0.130394803,1408,2.065165997,0.051955545,1498,7.47344017,0.031495486,1539,11.12477684,0.101903116,4901,2.273101568,0.206929318,352,2.685470581,0.093756051,3881,4.25050354,0.134806191,136,0.653591275,0.152729651,1640,4.100215912,581,0.117338268,0.345476974,0.32830318,0,0.208881579,0.091063596,0.286143092,0.059333882,0.108026953,72960,1.351684213,0.178117905,112114,0.299945175
Vermont,50,1,1,1,4,0,0.002552957,157,4.367706776,0.046977422,236,0.005366381,0.074827275,272,1.657524228,0.03915063,324,0.628873289,0.050406043,912,2.173745632,0,6,4.717451572,0.0428999,25,0.098135367,0.002660407,46,4.319303989,0.025592908,284,1.881819844,0.02978752,114,1.050531983,0.098039216,90,1.378979683,0.055023965,501,0.832217634,0.025178962,349,1.989961505,0.098622984,189,1.690040231,0.063762358,190,0.880193174,0.02183073,261,2.068707466,0.02835399,310,1.53221643,0.060006001,679,1.53221643,0.047989234,653,0.493130028,0.218758471,33,1.439112782,0.034901769,204,1.097964048,47,0.190987934,0.113310709,0.695701357,0,0,0,0,0.113310709,0.047083888,5304,6.831493855,0.072472081,8339,0
Virginia,51,0,1,0,3,1,0.064424437,2173,6.962521076,0.138156029,3513,2.683017969,0.135780954,4539,2.813580751,0.112380154,5087,1.362756968,0.082572265,9792,10.87118626,0.136985243,2252,2.107731581,0.32153886,1375,13.40380764,0.080745526,1893,4.686907291,0.098461438,4759,3.916387796,0.179769442,1667,5.588016987,0.113908499,1643,0.483537436,0.116495321,7243,0.716033816,0.216863732,4762,16.23605728,0.154927906,2291,3.79334569,0.083502462,2628,5.184061527,0.02351148,5631,23.94987297,0.116245675,11673,1.439655781,0.152215862,276,1.05225718,0.102195315,9964,8.82156086,0.283818622,513,5.821496487,0.172343605,3308,5.971677303,1405,0.068150795,0.337251084,0.325748755,0.268849366,0,0.092666011,0.288381243,0.048869841,0.119307615,199264,1.121357918,0.168385801,279609,0.361515377
Washington,53,1,1,0,1,0,0.034178977,1790,7.738215923,0.075607216,2858,0.375218302,0.088319411,4155,2.158895493,0.084518261,4553,1.455609679,0.050769811,8813,9.818095207,0.108959985,354,1.3501724,0.219445931,1651,11.94642544,0.050564022,2538,4.840215683,0.079072672,4330,0.263271093,0.109253234,1545,3.127696037,0.060411671,1502,2.159860134,0.072435766,5979,1.517205,0.120919104,3881,7.490606308,0.115695026,2269,4.79120636,0.074354511,2493,0.524505079,0.023537256,4713,15.35163593,0.075337535,11130,1.845991254,0.102890588,607,1.499908924,0.071315669,8388,4.724375248,0.127553344,509,2.003304005,0.107869485,3163,3.859613895,890,0.235164816,0.481179046,0.283656138,0,0,0,0.390358234,0.090820813,0.077840921,113278,11.70623398,0.204248181,281512,0
West Virginia,54,1,0,1,4,3,0.035238075,412,2.795053959,0.086424808,677,1.087680697,0.0853249,821,1.10745728,0.067601246,1000,0.529223561,0.072664301,2679,0.096726254,0.05341442,96,0.854790986,0.142226836,45,0.879570544,0.066057754,90,0.146585554,0.055287798,935,1.818278193,0.044604263,426,2.375971794,0.103175177,277,1.251860261,0.087820639,1272,2.017256021,0.091532422,1233,2.519416809,0.082526186,536,0.689523935,0.063387433,528,0.668206215,0.025921135,613,4.379640579,0.053597751,592,1.692822814,0.077964373,1018,0.55197674,0.069195207,1674,1.195920825,0.18126493,133,2.630977154,0.070240099,825,0.57218343,176,0.59526354,0.098149019,0.306587441,0,0,0,0.02876929,0.069379729,0.07245892,23393,6.2914958,0.225083438,75398,0
Wisconsin,55,0,1,0,2,0,0.037208434,1504,2.863964319,0.077679632,1996,2.324466705,0.076837669,2734,2.355003357,0.049028699,3131,2.751157761,0.050642749,7914,4.548228741,0.064802123,357,0.14686437,0.160355169,541,4.803781986,0.075915222,553,0.840971291,0.05182898,3108,2.050507069,0.084119553,1177,2.086330414,0.050564268,874,1.184256196,0.064673091,4206,0.514840186,0.100302448,2820,6.346439838,0.093821556,1663,3.338912487,0.042525879,2052,3.308166981,0.01385819,2830,12.22986603,0.057297329,4961,2.229385853,0.064998207,1361,0.239018083,0.053645442,6584,4.807027817,0.102311353,218,1.45268321,0.108745143,1484,4.379178047,573,0.297606029,0.237342988,0.465050983,0,0,0.144761342,0.179045367,0.058297621,0.062654739,67670,14.483325,0.113073133,122581,0.144761342
Wyoming,56,0,0,1,5,0,0.115999721,136,1.25899756,0.201064249,205,1.21140945,0.163582818,320,0.004869112,0.154937762,344,0.368390173,0.143205849,838,2.130690813,0.077922078,7,0.962440848,0.353522161,82,2.947942972,0.071567106,78,2.036463022,0.131955945,376,1.512217402,0.342410234,142,3.424312115,0.141338275,100,0.505517542,0.130045806,387,1.702768922,0.285133426,308,4.391354561,0.179381729,199,0.482898086,0.12089598,229,1.563893318,0.043039582,269,6.196445942,,,,0.167041073,574,0.247711807,0.149621692,648,1.567922592,0.162994054,30,0.056916472,0.22214643,219,1.597237349,134,0.162405494,0.22063831,0.426040284,0,0.190915912,0.076931956,0.150227968,0.070410342,0.16345918,17327,2.925904989,0.186359946,20658,0.267847868
US,99,,,,,,0.05998314,80266,48.8875885,0.123814468,128643,7.960652351,0.129053768,170522,15.53227806,0.118135321,186738,3.501614332,0.079070888,342165,67.03774261,0.12518708,58771,6.148269653,0.222784966,102693,77.41843414,0.078368369,62540,25.85889053,0.105903049,169748,10.5092144,0.160979298,76213,29.32799911,0.102719097,55774,7.415108204,0.10820112,264434,11.50194836,0.178680069,200561,77.05895233,0.146453907,100400,23.86263466,0.078315822,100736,34.12872314,0.03072647,164472,121.4051971,0.11311467,435360,7.462275505,0.127419591,50670,5.804037094,0.099753573,357352,49.64619064,0.214102897,21896,25.28220558,0.166060613,129272,38.17338181,56302,0.201007188,0.337819676,0.303755518,0.120051532,0.037366086,0.050581153,0.27970565,0.058114026,0.11521521,7345404,199.274826,0.199973329,12548146,